name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,purpose,performance_score
Asus Rampage III Black Edition,522.52,LGA1366,eatx,48,6,Black / Gray,DDR2,General,9.68
Gigabyte GA-78LMT-S2P,204.63,AM3+,micro atx,8,2,Blue / White,DDR3,General,4.19
Asus P8H61-M LX (REV 3.0),296.73,LGA1155,micro atx,16,2,Unknown,DDR3,General,4.13
Intel DX79SI,593.68,LGA2011,atx,64,8,Black / Blue,DDR3,General,12.26
Foxconn H67M-V,295.58,LGA1155,micro atx,32,4,Blue / White,DDR3,General,6.71
Asus Z9PE-D8 WS,592.65,2 X LGA2011,ssi eeb,64,8,Black / Blue,DDR4,General,12.26
ASRock Z77 Pro4,299.89,LGA1155,atx,32,4,Brown / Black,DDR3,General,6.71
MSI Z77A-GD65,293.52,LGA1155,atx,32,4,Black / Blue,DDR3,General,6.71
ASRock B75M,296.73,LGA1155,micro atx,16,2,Brown / Black,DDR3,General,4.13
ASRock Z77E-ITX,220.5,LGA1155,mini itx,16,2,Brown / Black,DDR3,General,4.13
ASRock B75M-DGS,296.73,LGA1155,micro atx,16,2,Brown / Black,DDR3,General,4.13
ASRock B85 Pro4,299.89,LGA1150,atx,32,4,Brown / Black,DDR3,General,7.1
ASRock Fatal1ty H97 Performance,311.94,LGA1150,atx,32,4,Black / Red,DDR3,General,7.1
Gigabyte GA-Z97X-Gaming GT,311.94,LGA1150,atx,32,4,Black / Red,DDR3,General,7.1
ASRock EPC612D8A,712.76,LGA2011-3 NARROW,atx,256,8,Green / Blue,DDR4,Design,20.0
MSI Z170A-G45 GAMING,1760.93,LGA1151,atx,64,4,Black / Red,DDR4,General,8.77
Gigabyte GA-Z170-D3H,404.94,LGA1151,atx,64,4,Black / Gold,DDR4,General,8.77
ASRock Z170M Extreme4,334.25,LGA1151,micro atx,64,4,Black / Orange,DDR4,Office,8.77
Asus H110M-PLUS,136.78,LGA1151,micro atx,32,2,Black / Gold,DDR4,General,5.55
Asus P10S WS,532.42,LGA1151,atx,64,4,Black,DDR4,General,8.77
Gigabyte GA-Z170-Gaming K3-EU,1760.93,LGA1151,atx,64,4,Black / Red,DDR4,General,8.77
MSI H110I PRO AC,585.32,LGA1151,mini itx,32,2,Black / White,DDR4,General,5.55
Gigabyte GA-Gaming B8,376.24,LGA1151,atx,64,4,Black / Green,DDR4,General,8.77
ASRock Z270M-ITX/ac,203.32,LGA1151,mini itx,32,2,Black / Silver,DDR4,General,5.55
Gigabyte GA-Z270X-DESIGNARE,399.31,LGA1151,atx,64,4,Silver,DDR4,General,8.77
ASRock Z370 Killer SLI,508.68,LGA1151,atx,64,4,Black / Silver,DDR4,General,8.77
MSI X299 TOMAHAWK AC,685.9,LGA2066,atx,256,8,Black / Silver,DDR4,Design,20.0
MSI H310I PRO,241.85,LGA1151,mini itx,32,2,Black,DDR4,General,5.55
ECS KAM1-I (V1.0),187.96,AM1,mini itx,16,2,Black / Gray,DDR3,General,4.52
Gigabyte GA-AB350M-D3V,142.39,AM4,micro atx,32,2,Brown / Black,DDR4,General,6.32
MSI X299 PRO,648.42,LGA2066,atx,256,8,Black,DDR4,Design,20.0
Asus PRIME H470-PLUS,205.57,LGA1200,atx,128,4,Black / White,DDR4,Gaming,12.52
Gigabyte B660M AORUS Pro,145.78,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B760M AORUS ELITE DDR4,145.78,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Biostar B550MXC PRO,118.01,AM4,micro atx,128,4,Brown / Black,DDR4,Office,12.13
Gigabyte H470 AORUS PRO AX,249.99,LGA1200,atx,128,4,Black / Silver,DDR4,Gaming,12.52
Biostar B660MX-E,225.0,LGA1700,micro atx,64,2,Gray / Black,DDR4,Office,8.39
Asus P8H67-M LE,347.4,LGA1155,micro atx,16,2,Black / Blue,DDR3,General,4.13
Asus Crosshair V Formula,311.94,AM3+,atx,32,4,Black / Red,DDR3,General,7.1
Asus Maximus IV Gene-Z,294.63,LGA1155,micro atx,32,4,Black / Red,DDR3,General,6.71
Asus P8Z68-V LE,293.52,LGA1155,atx,32,4,Black / Blue,DDR3,General,6.71
