name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,purpose,performance_score
MSI MAG B550 TOMAHAWK,169.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
MSI B550-A PRO,139.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
MSI B550M PRO-VDH WIFI,119.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Gigabyte Z790 AORUS ELITE AX,239.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus Prime B450M-A II,79.99,AM4,micro atx,128,4,Unknown,DDR4,Office,12.13
MSI MAG B660 TOMAHAWK WIFI DDR4,189.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B650 AORUS ELITE AX,202.3,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX B550-A GAMING,169.99,AM4,atx,128,4,Black / White,DDR4,Design,12.13
MSI MAG Z790 TOMAHAWK WIFI,276.79,LGA1700,atx,192,4,Black,DDR5,Gaming,15.48
MSI MAG B650 TOMAHAWK WIFI,219.95,AM5,atx,128,4,Black,DDR5,Gaming,12.9
Asus TUF GAMING X570-PLUS (WI-FI),199.99,AM4,atx,128,4,Black / Gold,DDR4,Design,12.13
Gigabyte B660M DS3H AX DDR4,99.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B650 GAMING X AX,169.99,AM5,atx,128,4,Black / Gray,DDR5,Gaming,12.9
Gigabyte B550M DS3H,107.99,AM4,micro atx,128,4,Black / Gold,DDR4,Office,12.13
Asus ROG STRIX B550-F GAMING WIFI II,189.99,AM4,atx,128,4,Black / Red,DDR4,Design,12.13
MSI B550 GAMING GEN3,117.36,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI PRO Z790-P WIFI,217.42,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B450M DS3H WIFI,79.99,AM4,micro atx,64,4,Brown / Black,DDR4,Office,9.55
MSI MAG B660M MORTAR WIFI DDR4,168.96,LGA1700,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
Gigabyte B550 AORUS ELITE AX V2,159.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Asus ROG STRIX B650E-F GAMING WIFI,267.73,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B550M Pro4,106.99,AM4,micro atx,128,4,Silver / Black,DDR4,Office,12.13
Asus ROG STRIX Z690-A GAMING WIFI D4,442.71,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus TUF GAMING B550-PLUS WIFI II,169.99,AM4,atx,128,4,Black / Gray,DDR4,Design,12.13
MSI B450M PRO-VDH MAX,79.98,AM4,micro atx,64,4,Black / Silver,DDR4,Office,9.55
MSI MPG B550 GAMING PLUS,149.99,AM4,atx,128,4,Black,DDR4,Design,12.13
Gigabyte B650I AORUS ULTRA,259.99,AM5,mini itx,64,2,Black / Silver,DDR5,Office,8.39
MSI PRO B760-P WIFI DDR4,161.98,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B760-I GAMING WIFI,218.99,LGA1700,mini itx,64,2,Black,DDR4,Office,8.39
MSI PRO B650-P WIFI,189.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO B650M-A WIFI,165.95,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO B550M-VC WIFI,118.61,AM4,micro atx,128,4,Black,DDR4,Office,12.13
MSI A520M-A PRO,75.99,AM4,micro atx,64,2,Black,DDR4,Office,7.61
MSI MAG Z690 TOMAHAWK WIFI DDR4,239.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX Z790-E GAMING WIFI,485.14,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte A520I AC,109.99,AM4,mini itx,64,2,Black,DDR4,Office,7.61
Asus PRIME Z690-P WIFI D4,199.0,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
MSI MAG X670E TOMAHAWK WIFI,309.99,AM5,atx,192,4,Black,DDR5,Gaming,15.48
Asus ROG MAXIMUS Z790 HERO,588.85,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B650M DS3H,139.99,AM5,micro atx,128,4,Brown / Black,DDR5,Gaming,12.9
MSI PRO H610M-G DDR4,79.99,LGA1700,micro atx,64,2,Black / Silver,DDR4,Office,8.39
MSI MAG B550 TOMAHAWK MAX WIFI,199.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
ASRock B660M Pro RS,89.99,LGA1700,micro atx,128,4,Gray / Black,DDR5,Gaming,12.9
ASRock A520M-HDV,70.42,AM4,micro atx,64,2,Black / Silver,DDR4,Office,7.61
Asus TUF GAMING B650-PLUS WIFI,227.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX X670E-E GAMING WIFI,484.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B550I AORUS PRO AX,169.99,AM4,mini itx,64,2,Black / Silver,DDR4,Office,7.61
Asus TUF GAMING Z790-PLUS WIFI,269.99,LGA1700,atx,128,4,Black / Gray,DDR5,Gaming,12.9
ASRock B550M-ITX/ac,129.99,AM4,mini itx,64,2,Silver / Black,DDR4,Office,7.61
MSI PRO Z690-A WIFI DDR4,169.95,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus TUF GAMING A520M-PLUS WIFI,99.99,AM4,micro atx,128,4,Black / Orange,DDR4,Office,12.13
Gigabyte B550 GAMING X V2,109.99,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI MPG B650I EDGE WIFI,274.27,AM5,mini itx,64,2,Black / Silver,DDR5,Office,8.39
Gigabyte B550M DS3H AC,87.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Gigabyte B760 GAMING X AX,159.99,LGA1700,atx,128,4,Black / Gray,DDR5,Gaming,12.9
Asus ROG STRIX B550-F GAMING,175.6,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI PRO B660M-A WIFI DDR4,173.5,LGA1700,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG ZENITH II EXTREME ALPHA,2059.0,STRX4,eatx,256,8,Black / Silver,DDR4,Design,20.77
ASRock B550M Phantom Gaming 4,86.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Gigabyte B650M AORUS ELITE AX,189.99,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B650-A GAMING WIFI,244.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus PRIME B550M-A WIFI II,129.99,AM4,micro atx,128,4,Blue / Silver,DDR4,Office,12.13
ASRock B650M Pro RS WiFi,124.99,AM5,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B550M AORUS ELITE,130.19,AM4,micro atx,128,4,Black / Orange,DDR4,Office,12.13
Asus PRIME Z790-A WIFI,279.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MPG Z490 GAMING EDGE WIFI,285.27,LGA1200,atx,128,4,Black / Silver,DDR4,Gaming,12.52
MSI MPG Z490 GAMING PLUS,109.99,LGA1200,atx,128,4,Black / Silver,DDR4,Gaming,12.52
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
ASRock Z690M-ITX/ax,171.17,LGA1700,mini itx,64,2,Silver / Black,DDR4,Office,8.39
Gigabyte X670 AORUS ELITE AX (rev. 1.0),269.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B650M-HDV/M.2,124.99,AM5,micro atx,64,2,Silver / Black,DDR5,Office,8.39
Gigabyte X570S AORUS ELITE AX,189.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Asus TUF GAMING B550M-PLUS WIFI II,159.99,AM4,micro atx,128,4,Black / Gray,DDR4,Office,12.13
Gigabyte B760M DS3H AX DDR4,178.5,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
MSI MPG Z790 EDGE WIFI,339.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock B660M-HDV,97.73,LGA1700,micro atx,64,2,Gray / Black,DDR4,Office,8.39
Asus ROG STRIX Z690-E GAMING WIFI,265.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO B760M-P DDR4,99.95,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
NZXT N7 Z790,299.99,LGA1700,atx,128,4,White / Black,DDR5,Gaming,12.9
ASRock H570 Phantom Gaming 4,81.0,LGA1200,atx,128,4,Silver / Black,DDR4,Gaming,12.52
Asus PRIME B550-PLUS,129.99,AM4,atx,128,4,Black / White,DDR4,Design,12.13
Gigabyte B760M AORUS ELITE AX,119.99,LGA1700,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B760 AORUS ELITE AX,159.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B650E-I GAMING WIFI,324.99,AM5,mini itx,64,2,Black,DDR5,Office,8.39
MSI PRO X670-P WIFI,229.95,AM5,atx,128,4,Black / White,DDR5,Gaming,12.9
Asus PRIME B660-PLUS D4,179.94,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Gigabyte A520M S2H,74.98,AM4,micro atx,64,2,Black,DDR4,Office,7.61
Asus PRIME Z790-P WIFI,222.98,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MPG B650 EDGE WIFI,239.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B550M K,79.98,AM4,micro atx,128,4,Brown / Silver,DDR4,Office,12.13
ASRock B550M-HDV,79.98,AM4,micro atx,64,2,Black,DDR4,Office,7.61
MSI B450 TOMAHAWK MAX,287.48,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI MPG X670E CARBON WIFI,439.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock Z790 PG LIGHTNING,179.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B550 AORUS ELITE V2,163.43,AM4,atx,128,4,Black,DDR4,Design,12.13
Asus ROG STRIX B760-A GAMING WIFI D4,218.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus PRIME A320M-K,96.78,AM4,micro atx,32,2,Black / White,DDR4,General,6.32
Asus TUF GAMING X670E-PLUS WIFI,301.2,AM5,atx,128,4,Black / Orange,DDR5,Gaming,12.9
Asus PRIME B660M-A WIFI D4,164.37,LGA1700,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus ROG STRIX B450-F GAMING,279.0,AM4,atx,64,4,Black,DDR4,General,9.55
ASRock B550 Phantom Gaming 4,84.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
MSI PRO Z790-A WIFI,219.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
NZXT N7 B550,249.99,AM4,atx,128,4,White / Black,DDR4,Design,12.13
ASRock B550 Phantom Gaming-ITX/ax,191.25,AM4,mini itx,64,2,Silver / Black,DDR4,Office,7.61
MSI MAG B650M MORTAR WIFI,199.95,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
NZXT N7 B650E,316.99,AM5,atx,128,4,White,DDR5,Gaming,12.9
ASRock B550M Steel Legend,129.99,AM4,micro atx,128,4,Silver / Black,DDR4,Office,12.13
Gigabyte B650M K,119.99,AM5,micro atx,128,4,Brown / Silver,DDR5,Gaming,12.9
Asus ROG STRIX X670E-I GAMING WIFI,429.99,AM5,mini itx,64,2,Black / Silver,DDR5,Office,8.39
MSI B450I GAMING PLUS MAX WIFI,149.99,AM4,mini itx,64,2,Black,DDR4,Office,7.61
ASRock B550 Pro4,114.99,AM4,atx,128,4,Silver / Black,DDR4,Design,12.13
ASRock B550M PG RIPTIDE,89.99,AM4,micro atx,128,4,Unknown,DDR4,Office,12.13
Asus ROG STRIX Z790-A GAMING WIFI,349.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus ROG CROSSHAIR X670E HERO,656.53,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MAG B760 TOMAHAWK WIFI,199.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B450M Pro4,139.99,AM4,micro atx,128,4,Black / Silver,DDR4,Office,12.13
ASRock X670E Steel Legend,299.99,AM5,atx,128,4,Black / White,DDR5,Gaming,12.9
MSI MAG X570S TOMAHAWK MAX WIFI,279.5,AM4,atx,128,4,Black,DDR4,Design,12.13
MSI MPG X570S EDGE MAX WIFI,199.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Asus ROG STRIX X670E-A GAMING WIFI,385.99,AM5,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus TUF GAMING Z690-PLUS WIFI D4,274.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MAG Z690 TOMAHAWK WIFI,217.0,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,atx,192,4,Black / Silver,DDR5,Gaming,15.48
Asus PRIME B650-PLUS,190.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
ASRock A520M-ITX/ac,136.6,AM4,mini itx,64,2,Black / Silver,DDR4,Office,7.61
MSI MEG Z790 GODLIKE,1199.99,LGA1700,eatx,128,4,Black,DDR5,Gaming,12.9
ASRock A620M Pro RS WiFi,124.99,AM5,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
MSI PRO Z690-P DDR4,158.69,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte Z690 AORUS ELITE AX,169.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus PRIME A520M-A II/CSM,79.99,AM4,micro atx,128,4,Silver / Black,DDR4,Office,12.13
MSI MPG Z790 CARBON WIFI,399.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG Crosshair VIII Dark Hero,395.0,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
MSI MPG Z690 EDGE WIFI DDR4,269.99,LGA1700,atx,128,4,Black / Gray,DDR5,Gaming,12.9
ASRock B450M Steel Legend,109.0,AM4,micro atx,64,4,Black / White,DDR4,Office,9.55
Asus PRIME Z390-A,323.0,LGA1151,atx,128,4,Silver / Black,DDR4,Design,11.35
MSI PRO H610M-B DDR4,109.98,LGA1700,micro atx,64,2,Black / Silver,DDR4,Office,8.39
Gigabyte B450 AORUS ELITE V2,128.48,AM4,atx,128,4,Black,DDR4,Design,12.13
ASRock B760M Steel Legend WiFi,169.99,LGA1700,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus PRIME X670E-PRO WIFI,334.99,AM5,atx,128,4,Silver / Black,DDR5,Gaming,12.9
MSI MAG B760 TOMAHAWK WIFI DDR4,189.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG CROSSHAIR X670E EXTREME,999.99,AM5,eatx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX X670E-F GAMING WIFI,419.99,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus PRIME B760-PLUS D4,143.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock B660 Steel Legend,119.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
MSI MPG Z790I EDGE WIFI,350.99,LGA1700,mini itx,64,2,Silver / Black,DDR4,Office,8.39
ASRock H470M-HDV/M.2,86.82,LGA1200,micro atx,64,2,Black / Silver,DDR4,Office,8.0
MSI MEG X570 UNIFY,245.99,AM4,atx,128,4,Black,DDR4,Design,12.13
Gigabyte Z790 UD AX,179.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B660M AORUS Pro AX DDR4,109.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
ASRock B650M Pro RS,139.99,AM5,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MPG B560I GAMING EDGE WIFI,169.99,LGA1200,mini itx,64,2,Black,DDR4,Office,8.0
MSI PRO Z690-A WIFI,198.0,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ProArt X670E-CREATOR WIFI,404.99,AM5,atx,128,4,Black / Copper,DDR5,Gaming,12.9
MSI MAG Z790 TOMAHAWK WIFI DDR4,244.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO A620M-E,84.95,AM5,micro atx,64,2,Black,DDR5,Office,8.39
Asus ProArt Z790-CREATOR WIFI,419.99,LGA1700,atx,128,4,Black / Copper,DDR5,Gaming,12.9
Asus PRIME H510M-K,119.5,LGA1200,micro atx,64,2,Black / Silver,DDR4,Office,8.0
ASRock Z790M-ITX WIFI,189.99,LGA1700,mini itx,64,2,Black,DDR4,Office,8.39
MSI B450M-A PRO MAX,75.99,AM4,micro atx,32,2,Black,DDR4,General,6.32
ASRock B650 PRO RS,203.57,AM5,atx,128,4,Black / Silver,DDR5,Gaming,12.9
ASRock A520M-HVS,85.2,AM4,micro atx,64,2,Black / Silver,DDR4,Office,7.61
ASRock B450M/AC,94.01,AM4,micro atx,64,4,Black,DDR4,Office,9.55
ASRock B760M PG Riptide,139.99,LGA1700,micro atx,128,4,Black / Blue,DDR5,Gaming,12.9
Asus PRIME B450M-K II,99.49,AM4,micro atx,64,2,Black,DDR4,Office,7.61
Asus ROG STRIX Z790-H GAMING WIFI,299.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B660M AORUS ELITE AX DDR4,109.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B660-I GAMING WIFI,259.14,LGA1700,mini itx,64,2,Black / Silver,DDR4,Office,8.39
Asus ROG Strix X570-I Gaming,371.87,AM4,mini itx,64,2,Black,DDR4,Office,7.61
Gigabyte B550 UD AC,109.99,AM4,atx,128,4,Brown / Black,DDR4,Design,12.13
Asus ROG STRIX B660-A GAMING WIFI D4,282.84,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus PRIME H610I-PLUS D4-CSM,109.99,LGA1700,mini itx,64,2,Silver / Black,DDR4,Office,8.39
Asus TUF GAMING B760M-PLUS WIFI D4,179.99,LGA1700,micro atx,128,4,Black / Orange,DDR5,Gaming,12.9
MSI A320M-A PRO,78.81,AM4,micro atx,64,2,Black,DDR4,Office,7.61
ASRock Fatal1ty B450 Gaming-ITX/ac,145.63,AM4,mini itx,64,2,Black / Silver,DDR4,Office,7.61
MSI MPG B760I EDGE WIFI,219.95,LGA1700,mini itx,64,2,Black / Silver,DDR4,Office,8.39
Asus PRIME Z690-P WIFI,219.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock B365M Pro4,1366.24,LGA1151,micro atx,64,4,Black / Silver,DDR4,Office,8.77
MSI B450 Gaming Plus MAX,155.0,AM4,atx,128,4,Red / Black,DDR4,Design,12.13
ASRock B650M PG RIPTIDE,169.99,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
ASRock Z790 PRO RS WIFI,194.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock B650E PG RIPTIDE WIFI,239.99,AM5,atx,128,4,Black / Blue,DDR5,Gaming,12.9
Gigabyte Z790 GAMING X AX,229.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus PRIME Z790-P WIFI D4,229.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B760M GAMING X AX DDR4,149.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B450M DS3H,174.99,AM4,micro atx,128,4,Black / Silver,DDR4,Office,12.13
Gigabyte Z690 AORUS ELITE AX DDR4,191.13,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX Z790-I GAMING WIFI,433.84,LGA1700,mini itx,96,2,Black,DDR4,Office,9.68
Asus ROG Strix TRX40-E Gaming,1108.45,STRX4,atx,256,8,Black,DDR4,Design,20.77
ASRock X670E PG Lightning,259.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO Z790-P WIFI DDR4,219.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus TUF Gaming Z590-PLUS WIFI,159.46,LGA1200,atx,128,4,Silver / Black,DDR4,Gaming,12.52
ASRock X570 Steel Legend,145.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Gigabyte X670E AORUS MASTER (rev. 1.0),489.99,AM5,eatx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MEG X670E GODLIKE,1283.93,AM5,eatx,128,4,Black,DDR5,Gaming,12.9
Asus TUF GAMING Z790-PLUS WIFI D4,249.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte Z790 AORUS MASTER,459.99,LGA1700,eatx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte Z790 AERO G,279.99,LGA1700,atx,128,4,Unknown,DDR5,Gaming,12.9
ASRock B650E PG-ITX WIFI,289.99,AM5,mini itx,64,2,Black / Red,DDR5,Office,8.39
ASRock B650 PG LIGHTNING,192.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock X570 Phantom Gaming-ITX/TB3,259.0,AM4,mini itx,64,2,Black / Silver,DDR4,Office,7.61
Gigabyte Z690 UD DDR4,226.85,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B450 Steel Legend,124.57,AM4,atx,64,4,Black / Silver,DDR4,General,9.55
MSI PRO B660M-G DDR4,99.99,LGA1700,micro atx,64,2,Black / Silver,DDR4,Office,8.39
MSI Z390-A PRO,239.0,LGA1151,atx,128,4,Brown / Black,DDR4,Design,11.35
MSI MPG B650 CARBON WIFI,311.47,AM5,atx,128,4,Black,DDR5,Gaming,12.9
Asus PRIME Z690-A,219.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Gigabyte TRX40 AORUS XTREME,1909.0,STRX4,xl atx,256,8,Black / Silver,DDR4,General,20.77
Asus TUF GAMING B550-PLUS,174.5,AM4,atx,128,4,Black,DDR4,Design,12.13
Gigabyte B760M DS3H AX,129.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX B650E-E GAMING WIFI,349.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
ASRock X570 Phantom Gaming 4,154.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Gigabyte A620M GAMING X,99.99,AM5,micro atx,128,4,Brown / Gray,DDR5,Gaming,12.9
MSI PRO B550-VC,139.99,AM4,atx,128,4,Black,DDR4,Design,12.13
Gigabyte Z790 UD AC,179.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX Z790-A GAMING WIFI D4,339.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus ROG STRIX Z790-F GAMING WIFI,391.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
ASRock B450M PRO4 R2.0,74.98,AM4,micro atx,128,4,Gray / Black,DDR4,Office,12.13
Asus TUF GAMING B560M-PLUS WIFI,174.47,LGA1200,micro atx,128,4,Gold / Black,DDR4,Gaming,12.52
Gigabyte B650M GAMING X AX,190.9,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
Asus ROG STRIX Z390-E GAMING,340.0,LGA1151,atx,128,4,Black,DDR4,Design,11.35
Asus PRIME B550M-A,114.18,AM4,micro atx,128,4,Black / White,DDR4,Office,12.13
MSI PRO B760M-A WIFI DDR4,169.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte Z690 UD AX DDR4,159.99,LGA1700,atx,128,4,Black,DDR5,Gaming,12.9
MSI G41M4-F,204.82,LGA775,micro atx,8,2,Red,DDR3,General,2.65
Asus PRIME B550M-K,132.5,AM4,micro atx,128,4,Black / White,DDR4,Office,12.13
Gigabyte H610M S2H,99.99,LGA1700,micro atx,64,2,Brown / Silver,DDR4,Office,8.39
Asus ROG STRIX Z690-F GAMING WIFI,249.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus TUF GAMING B650M-PLUS WIFI,219.99,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
ASRock B450M-HDV R4.0,90.84,AM4,micro atx,32,2,Black / White,DDR4,General,6.32
Asus ROG STRIX Z590-E GAMING WIFI,199.95,LGA1200,atx,128,4,Black,DDR4,Gaming,12.52
MSI B450 TOMAHAWK,166.54,AM4,atx,64,4,Black / Silver,DDR4,General,9.55
ASRock X570 Steel Legend WiFi ax,139.99,AM4,atx,128,4,Black / Silver,DDR4,Design,12.13
Gigabyte B760M DS3H DDR4,119.99,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
MSI MPG Z690 CARBON WIFI,280.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Asus PRIME X670-P,242.02,AM5,atx,128,4,Silver / Black,DDR5,Gaming,12.9
Asus TUF GAMING Z690-PLUS WIFI,166.99,LGA1700,atx,128,4,Black / Gray,DDR5,Gaming,12.9
MSI MAG B760M MORTAR WIFI,179.95,LGA1700,micro atx,128,4,Black / Silver,DDR5,Gaming,12.9
MSI MEG X670E ACE,699.99,AM5,eatx,128,4,Black / Gold,DDR5,Gaming,12.9
ASRock B760 Pro RS,129.99,LGA1700,atx,128,4,Silver / Black,DDR5,Gaming,12.9
ASRock H310CM-DVS,63.99,LGA1151,micro atx,32,2,Black,DDR4,General,5.55
ASRock B650M PG RIPTIDE WIFI,189.99,AM5,micro atx,128,4,Black,DDR5,Gaming,12.9
MSI PRO Z690-A DDR4,189.99,LGA1700,atx,128,4,Black / Silver,DDR5,Gaming,12.9
Gigabyte B660M DS3H DDR4,165.94,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
ASRock X670E Taichi,499.99,AM5,eatx,128,4,Black,DDR5,Gaming,12.9
NZXT N5 Z690,239.99,LGA1700,atx,128,4,Black / White,DDR5,Gaming,12.9
MSI MPG B760I EDGE WIFI DDR4,179.97,LGA1700,mini itx,64,2,Silver / Black,DDR4,Office,8.39
MSI PRO B550M-P GEN3,144.84,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Asus PRIME B450-PLUS,125.79,AM4,atx,64,4,Black / Silver,DDR4,General,9.55
Gigabyte B650 AORUS PRO AX,229.99,AM5,atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte H510M H,98.78,LGA1200,micro atx,64,2,Black,DDR4,Office,8.0
Asus ROG STRIX B550-I GAMING,230.9,AM4,mini itx,64,2,Black,DDR4,Office,7.61
ASRock Z690 STEEL LEGEND/D5,199.99,LGA1700,atx,128,4,Black / White,DDR5,Gaming,12.9
ASRock Z590 Extreme WiFi 6E,119.99,LGA1200,atx,128,4,Black / Blue,DDR4,Gaming,12.52
Asus TUF GAMING B550M-PLUS,159.99,AM4,micro atx,128,4,Black,DDR4,Office,12.13
Asus ROG STRIX X570-E GAMING WIFI II,287.48,AM4,atx,128,4,Black,DDR4,Design,12.13
Asus PRIME Z390-P,327.86,LGA1151,atx,128,4,Silver / Black,DDR4,Design,11.35
Gigabyte H610M S2H DDR4,89.99,LGA1700,micro atx,64,2,Black / Gray,DDR4,Office,8.39
Asus ROG STRIX B550-F GAMING (WI-FI),398.0,AM4,atx,128,4,Black,DDR4,Design,12.13
NZXT N7-Z69XT-W1,323.95,LGA1700,atx,128,4,White / Black,DDR5,Gaming,12.9
Asus PRIME B660M-A D4,135.99,LGA1700,micro atx,128,4,Silver / Black,DDR5,Gaming,12.9
