name,price,price_per_gb,color,first_word_latency,cas_latency,speed_mhz,ddr_type,total_capacity,purpose,performance_score
Corsair CMSO8GX3M1C1333C9 8 GB,37.34,4.668,Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Crucial CT8G3S160BM 8 GB,21.65,2.706,Black / Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Crucial CT4K16G4DFD8213 64 GB,299.95,4.687,Black / Green,14.065,15.0,2133,DDR4,64,General,28.380396858069552
Crucial CT16G4SFD8266 16 GB,62.4,3.9,Green / Black,14.254,19.0,2666,DDR4,16,General,12.696137916643936
Kingston HyperX Impact 16 GB,98.19,6.137,Black,11.253,15.0,2666,DDR4,16,General,12.781027292512569
Mushkin Redline 8 GB,31.99,3.999,Black,9.376,10.0,2133,DDR3,8,General,8.750680339975364
Patriot Viper 4 GB,199.99,49.998,Silver,10.503,7.0,1333,DDR3,4,General,5.379686905964435
Kingston KVR13N9S8H/4 4 GB,34.86,8.715,Unknown,13.503,9.0,1333,DDR3,4,General,5.2495431227155755
Corsair CMV8GX3M2A1600C11 8 GB,44.99,5.624,Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Kingston KVR16N11H/8 8 GB,24.99,3.124,Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Kingston KVR1333D3E9SK2/16G 16 GB,128.88,8.055,Green,13.503,9.0,1333,DDR3,16,General,9.494273801872483
Kingston KVR13E9/2I 2 GB,43.85,21.925,Green,13.503,9.0,1333,DDR3,2,General,4.542088009522757
Crucial CT102472BA186D 8 GB,41.99,5.249,Green / Black,13.934,13.0,1866,DDR3,8,General,7.9287645252654135
Silicon Power SP016GBLFU213B02 16 GB,65.0,4.062,Unknown,14.065,15.0,2133,DDR4,16,General,11.401474141441918
Crucial CT25664BA1067 2 GB,19.98,9.99,Green,13.133,7.0,1066,DDR3,2,General,3.924488356718697
G.Skill ECO 4 GB,29.99,7.497,Silver,11.25,9.0,1600,DDR3,4,General,5.972215844443425
Kingston ValueRAM 3 GB,25.48,8.493,Green,13.503,9.0,1333,DDR3,3,General,4.8958155661191665
Kingston KVR1333D3N9K2/8G 8 GB,49.89,6.236,Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Kingston KVR667D2S5/1G 1 GB,9.78,9.78,Green,14.993,5.0,667,DDR2,1,General,2.5706898112207104
G.Skill Ripjaws Z 16 GB,89.98,5.624,Black / Blue,8.439,9.0,2133,DDR3,16,General,11.638857690520284
Kingston KHX1600C9D3K8/32GX 32 GB,89.96,2.811,Blue / Silver,11.25,9.0,1600,DDR3,32,General,15.876587429142878
Corsair CMSO4GX3M1C1600C11 4 GB,24.99,6.247,Green,11.25,9.0,1600,DDR3,4,General,5.972215844443425
Crucial CT2KIT51264BA160BJ 8 GB,34.99,4.374,Black / Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Kingston KVR1333D3D4R9SK2/16G 16 GB,74.5,4.656,Green,13.503,9.0,1333,DDR3,16,General,9.494273801872483
PNY NHS 8 GB,39.99,4.999,Black / Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Crucial CT2KIT25664BA160BJ 4 GB,34.99,8.748,Black / Green,13.75,11.0,1600,DDR3,4,General,5.879127518869681
Kingston Savage 16 GB,389.0,24.312,Black,10.0,15.0,3000,DDR4,16,General,13.641185772333317
Kingston KSM24RS8/8MEI 8 GB,48.23,6.029,Green / Black,14.167,17.0,2400,DDR4,8,General,9.218661876805573
