name,price,chipset,memory,core_clock,boost_clock,color,length,purpose,performance_score
Asus CERBERUS,206.47,GeForce GTX 1050 Ti,4.0,1328.0,1442.0,Black / Red,203.0,Budget Gaming,34.81481481481481
PNY VCQRTX4000-PB,696.43,Quadro RTX 4000,8.0,1005.0,1545.0,Silver / Black,267.0,Mid-Range Gaming,42.07818930041152
Inno3D AX Gaming X2W,419.0,GeForce RTX 3060 12GB,12.0,1320.0,1777.0,White / Silver,229.0,Mid-Range Gaming,51.995884773662546
MSI GeForce GTX 1630 VENTUS XS 4G OC,164.49,GeForce GTX 1630,4.0,1740.0,1740.0,Silver / Black,178.0,Budget Gaming,40.946502057613166
Gigabyte GAMING OC PRO,811.0,GeForce RTX 3060 Ti,8.0,1410.0,1770.0,Black / Silver,286.0,Mid-Range Gaming,46.70781893004115
Inno3D AX Gaming X3W,569.0,GeForce RTX 3070 Ti,8.0,1575.0,1770.0,White / Blue,293.0,Mid-Range Gaming,46.70781893004115
EVGA XC ULTRA GAMING,999.0,GeForce RTX 2080 SUPER,8.0,1650.0,1845.0,Transparent / Black,270.0,Mid-Range Gaming,48.25102880658436
PNY VCNRTX4000ADALP-PB,1499.93,RTX 4000 SFF Ada Generation,20.0,1290.0,1565.0,Black,168.0,Mid-Range Gaming,57.92181069958847
MSI GT 710 2GD3 LP,66.48,GeForce GT 710,2.0,954.0,954.0,Black,146.0,Budget Gaming,22.201646090534975
Palit GameRock OC,1463.16,GeForce RTX 4080,16.0,2205.0,2640.0,Black,329.0,High-End Gaming,74.89711934156378
PNY VCQP4000-PB,371.24,Quadro P4000,8.0,1227.0,1480.0,Black / Green,242.0,Mid-Range Gaming,40.74074074074073
Zotac Twin Edge,599.99,GeForce RTX 4070,12.0,1920.0,2475.0,Black,226.0,Mid-Range Gaming,66.35802469135803
XFX GTS,299.0,Radeon RX 580,8.0,1405.0,1425.0,Black / Red,270.0,Budget Gaming,39.60905349794238
XFX RX-79XMBABF9,1782.0,Radeon RX 7900 XTX,24.0,2300.0,2500.0,Black,287.0,High-End Gaming,82.3045267489712
Asus GT710-4H-SL-2GD5,189.99,GeForce GT 710,2.0,954.0,954.0,Black,167.0,Budget Gaming,22.201646090534975
MSI Radeon RX 6900 XT GAMING Z TRIO 16G,1100.0,Radeon RX 6900 XT,16.0,1825.0,2425.0,Silver / Black,324.0,Workstation,70.47325102880659
Asus Phoenix EVO OC,169.99,GeForce GTX 1650 G6,4.0,1410.0,1635.0,Black,197.0,Budget Gaming,38.78600823045268
MSI GeForce RTX 3070 Ventus 3X 8G OC LHR,579.99,GeForce RTX 3070 LHR,8.0,1500.0,1755.0,Black,305.0,Mid-Range Gaming,46.3991769547325
Gigabyte GAMING OC 3X,1013.69,GeForce RTX 2070 SUPER,8.0,1605.0,1815.0,Black,286.0,Mid-Range Gaming,47.63374485596707
Zotac ZT-71115-20L,79.99,GeForce GT 730,4.0,902.0,902.0,Black / Gold,0.0,Budget Gaming,23.703703703703702
Gigabyte AORUS XTREME,2199.0,GeForce RTX 3090,24.0,1395.0,1860.0,Black,319.0,Mid-Range Gaming,69.13580246913578
Asus Phoenix EVO,141.99,Radeon RX 550 - 512,4.0,1100.0,1183.0,Black,192.0,Budget Gaming,29.485596707818935
MSI VENTUS OC,372.82,GeForce RTX 2060,6.0,1365.0,1710.0,Silver / Black,226.0,Mid-Range Gaming,42.901234567901234
Palit StormX OC,748.0,GeForce RTX 4060 Ti,8.0,2310.0,2670.0,Black,170.0,Mid-Range Gaming,65.22633744855966
Sapphire 11256-00,4483.02,Radeon RX 470,4.0,932.0,1216.0,Black,243.0,Mid-Range Gaming,30.164609053497944
EVGA Black,974.0,GeForce RTX 2070,8.0,1410.0,1620.0,Clear / Black,269.0,Mid-Range Gaming,43.621399176954725
Gigabyte MINI ITX OC,384.0,GeForce GTX 1060 6GB,6.0,1531.0,1771.0,Black / Orange,169.0,Mid-Range Gaming,44.15637860082305
PNY VCQRTX5000-PB,939.0,Quadro RTX 5000,16.0,1620.0,1815.0,Silver / Black,267.0,Mid-Range Gaming,57.92181069958847
NVIDIA 900-1G500-2500-000,2829.0,Titan V,12.0,1200.0,1455.0,Black / Gold,267.0,Mid-Range Gaming,45.37037037037036
MSI D6 GAMING X,234.29,GeForce GTX 1650 G6,4.0,1410.0,1710.0,Black,245.0,Budget Gaming,40.32921810699588
Sapphire NITRO+ SE,1369.99,Radeon RX 6900 XT,16.0,1825.0,2365.0,Black / White,310.0,Workstation,69.238683127572
Gigabyte GAMING 8G,367.04,Radeon RX 590,8.0,1469.0,1560.0,Black / Orange,232.0,Mid-Range Gaming,42.38683127572016
Asus KO Gaming OC,739.9,GeForce RTX 3070,8.0,1500.0,1845.0,Black / Silver,275.0,Mid-Range Gaming,48.25102880658436
PNY VCGGT7102XPB,54.99,GeForce GT 710,2.0,954.0,954.0,Black,114.0,Budget Gaming,22.201646090534975
MSI AERO ITX 2GD4 OC,112.47,GeForce GT 1030 DDR4,2.0,1189.0,1430.0,Black / White,147.0,Budget Gaming,31.995884773662553
MSI GTX 1050 TI 4GT LP,239.99,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,Black / White,182.0,Budget Gaming,33.786008230452666
Asus GT730-SL-2GD5-BRK,78.99,GeForce GT 730,2.0,902.0,902.0,Blue / Black,165.0,Budget Gaming,21.131687242798353
Zotac AMP Core,169.99,GeForce GTX 1650 G6,4.0,1410.0,1650.0,Gray,162.0,Budget Gaming,39.09465020576132
Inno3D Twin X2 OC,225.75,GeForce GTX 1650 G6,4.0,1485.0,1620.0,Black,196.0,Budget Gaming,38.47736625514403
Zotac AMP Extreme Core Holo,1629.9,GeForce RTX 3090 Ti,24.0,1560.0,1890.0,Black,356.0,Mid-Range Gaming,69.75308641975309
Asus TUF-RTX3060-O12G-DEMONSLAYER,389.99,GeForce RTX 3060 12GB,12.0,1320.0,1882.0,Orange / Black,301.0,Mid-Range Gaming,54.15637860082304
Gigabyte GV-N105TD5-4GD,279.95,GeForce GTX 1050 Ti,4.0,1290.0,1430.0,Black / Orange,172.0,Budget Gaming,34.56790123456789
Palit Dual OC,617.47,GeForce RTX 4060 Ti,8.0,2310.0,2685.0,Black,250.0,Mid-Range Gaming,65.53497942386831
MSI N730K-2GD3H/LP,144.19,GeForce GT 730,2.0,902.0,902.0,Black / White,146.0,Budget Gaming,21.131687242798353
Gigabyte GV-N1030D5-2GL,116.9,GeForce GT 1030,2.0,1252.0,1506.0,Black,150.0,Budget Gaming,33.55967078189301
PNY VCQP2000-PB,264.99,Quadro P2000,5.0,1370.0,1470.0,Black,201.0,Budget Gaming,36.67695473251029
Sapphire NITRO+ PURE,1229.73,Radeon RX 6950 XT,16.0,1890.0,2435.0,White / Black,320.0,Workstation,70.679012345679
Inno3D iChill X3,970.99,GeForce RTX 4070 Ti,12.0,2310.0,2670.0,Black,334.0,Mid-Range Gaming,70.37037037037037
Zotac ZT-P10300A-10L,89.99,GeForce GT 1030,2.0,1227.0,1468.0,Black,173.0,Budget Gaming,32.777777777777786
MSI Radeon RX 5500 XT MECH 4G OC,309.99,Radeon RX 5500 XT,4.0,1647.0,1845.0,Black,215.0,Mid-Range Gaming,43.10699588477366
Gigabyte AORUS MASTER Rev 2.0,879.99,GeForce RTX 3070 LHR,8.0,1500.0,1845.0,Black,290.0,Mid-Range Gaming,48.25102880658436
VisionTek 901315,249.0,Radeon RX 5500 XT,4.0,1607.0,1845.0,Black,178.0,Budget Gaming,43.10699588477366
Asus KO GAMING OC V2,719.9,GeForce RTX 3070 LHR,8.0,1500.0,1845.0,Black / Silver,275.0,Mid-Range Gaming,48.25102880658436
Gigabyte EAGLE Rev 2.0,386.69,GeForce RTX 3060 Ti LHR,8.0,1410.0,1665.0,Black,242.0,Mid-Range Gaming,44.547325102880656
Zotac GAMING SOLO,299.99,GeForce RTX 4060,8.0,1830.0,2460.0,Black,163.0,Budget Gaming,60.905349794238674
Asus STRIX LC GAMING OC,1299.0,Radeon RX 6900 XT,16.0,1950.0,2365.0,Black / Gray,277.0,Workstation,69.238683127572
Gigabyte AORUS ELITE Rev 2.0,630.27,GeForce RTX 3060 Ti LHR,8.0,1410.0,1785.0,Black,296.0,Mid-Range Gaming,47.01646090534979
MSI Radeon RX 570 ARMOR 8G,732.93,Radeon RX 570,8.0,1168.0,1244.0,Black / White,246.0,Mid-Range Gaming,35.884773662551446
MSI SUPRIM,1189.99,GeForce RTX 4080,16.0,2205.0,2610.0,Black,336.0,High-End Gaming,74.2798353909465
Palit GameRock OmniBlack,1470.8,GeForce RTX 4080,16.0,2205.0,2505.0,Black,329.0,High-End Gaming,72.119341563786
AMD 100-506115,169.99,Radeon Pro WX 3200,4.0,1250.0,1290.0,Blue / Black,168.0,Budget Gaming,31.68724279835391
Gainward NE6306T019P2-190AB,436.89,GeForce RTX 3060 Ti LHR,8.0,1410.0,1665.0,Black,247.0,Mid-Range Gaming,44.547325102880656
EVGA KO GAMING,469.0,GeForce RTX 2060,6.0,1365.0,1680.0,Gray / Black,202.0,Mid-Range Gaming,42.28395061728395
MSI GeForce RTX 3070 VENTUS 3X,749.9,GeForce RTX 3070,8.0,1500.0,1725.0,Black / Silver,305.0,Mid-Range Gaming,45.78189300411522
PNY VCQM2000-PB,114.0,Quadro M2000,4.0,872.0,1180.0,Black,168.0,Budget Gaming,29.4238683127572
AMD RADEON PRO WX 4100,219.99,Radeon Pro WX 4100,4.0,925.0,975.0,Blue,168.0,Budget Gaming,25.205761316872426
PNY VCQP5000-PB,571.0,Quadro P5000,16.0,1607.0,1733.0,Black / Green,0.0,Mid-Range Gaming,56.23456790123457
MSI GT 1030 2GHD4 LP OC,94.95,GeForce GT 1030 DDR4,2.0,1189.0,1430.0,Black,150.0,Budget Gaming,31.995884773662553
Asus ROG STRIX LC GAMING OC,2399.98,GeForce RTX 3080 Ti,12.0,1365.0,1860.0,Black / Silver,293.0,Mid-Range Gaming,53.70370370370371
PNY T-Series,399.99,T1000 8GB,8.0,1065.0,1395.0,Black / Gray,156.0,Mid-Range Gaming,38.9917695473251
PNY VCQP1000-PB,174.99,Quadro P1000,4.0,1354.0,1455.0,Black,145.0,Budget Gaming,35.08230452674896
AMD 100-506208,579.99,Radeon PRO W6600,8.0,2331.0,2580.0,Blue,241.0,Mid-Range Gaming,63.37448559670782
EVGA FTW3 BLACK GAMING,1949.95,GeForce RTX 3090 Ti,24.0,1560.0,1860.0,Black,300.0,Mid-Range Gaming,69.13580246913578
Asus GTXTITANX-12GD5,1698.0,GeForce GTX Titan X,12.0,1075.0,1000.0,Black / Silver,267.0,Mid-Range Gaming,36.008230452674894
Sapphire Toxic Extreme Edition,1759.99,Radeon RX 6900 XT,16.0,1825.0,2525.0,Black,270.0,Workstation,72.53086419753086
Gigabyte GV-N730D5-2GL,110.2,GeForce GT 730,2.0,902.0,902.0,Black,150.0,Budget Gaming,21.131687242798353
AMD RADEON PRO WX 7100,356.94,Radeon Pro WX 7100,8.0,900.0,1080.0,Blue,242.0,Mid-Range Gaming,32.510288065843625
Gigabyte GV-N105TOC-4GD,289.0,GeForce GTX 1050 Ti,4.0,1341.0,1455.0,Black / Orange,191.0,Budget Gaming,35.08230452674896
Gigabyte D6 Rev 2.0,689.11,GeForce RTX 2060,6.0,1365.0,1680.0,Black / Gray,226.0,Mid-Range Gaming,42.28395061728395
Asus KO OC V2,619.99,GeForce RTX 3060 12GB,12.0,1320.0,1882.0,Black / Silver,275.0,Mid-Range Gaming,54.15637860082304
PNY VCQP400-PB,135.0,Quadro P400,2.0,1070.0,1170.0,Black,145.0,Budget Gaming,26.64609053497943
Palit GamingPro OC,1033.99,GeForce RTX 4070 Ti,12.0,2310.0,2760.0,Black / Silver,329.0,Mid-Range Gaming,72.22222222222221
Zotac ZT-71302-20L,69.98,GeForce GT 710,2.0,954.0,954.0,Black,144.0,Budget Gaming,22.201646090534975
Gigabyte GAMING OC PRO Rev 3.0,499.99,GeForce RTX 3060 Ti LHR,8.0,1410.0,1770.0,Black,281.0,Mid-Range Gaming,46.70781893004115
PNY VCQ420NVS-X1-DVI-PB,149.98,Quadro NVS 420,0.5,0.0,0.0,Black / Green,0.0,Budget Gaming,0.6430041152263375
Gainward Phantom GS,1911.47,GeForce RTX 4080,16.0,2205.0,2640.0,Black,329.0,High-End Gaming,74.89711934156378
Sparkle ELF,139.99,Arc A380,6.0,2000.0,2000.0,Blue / Black,153.0,Budget Gaming,48.86831275720164
MSI GAMING,599.99,GeForce RTX 2060,6.0,1365.0,1680.0,Silver / Black,247.0,Mid-Range Gaming,42.28395061728395
EVGA FTW3 ULTRA HYBRID GAMING iCX3,2094.98,GeForce RTX 3080 Ti,12.0,1365.0,1800.0,Black,300.0,Mid-Range Gaming,52.46913580246913
Asus GT1030-2G-BRK,144.9,GeForce GT 1030,2.0,1266.0,1506.0,Black / Blue,169.0,Budget Gaming,33.55967078189301
EVGA ACX 2.0,329.98,GeForce GTX 1050 Ti,4.0,1290.0,1392.0,Black,145.0,Mid-Range Gaming,33.786008230452666
PNY VCGGTX10708PB,4351.84,GeForce GTX 1070,8.0,1506.0,1683.0,Black / Red,267.0,Mid-Range Gaming,44.91769547325102
Asus STRIX GAMING Advanced,2397.94,GeForce RTX 2080 SUPER,8.0,1650.0,1860.0,Black,300.0,Mid-Range Gaming,48.559670781893
PowerColor Low Profile,159.99,Radeon RX 6400,4.0,1923.0,1923.0,Black / Silver,155.0,Budget Gaming,44.711934156378604
AMD 100-505999,137.5,Radeon Pro WX 3100,4.0,925.0,1219.0,Blue,145.0,Budget Gaming,30.22633744855967
MSI Radeon RX 6600 XT MECH 2X 8G OCV1,418.88,Radeon RX 6600 XT,8.0,1968.0,2602.0,Black / Silver,215.0,Mid-Range Gaming,63.82716049382715
MSI GT LP OC,217.95,GeForce GTX 1650 G5,4.0,1485.0,1695.0,Black,168.0,Budget Gaming,40.02057613168724
Asus TUF GAMING OC P,263.49,GeForce GTX 1650 G6,4.0,1410.0,1785.0,Black,206.0,Budget Gaming,41.87242798353909
PNY VCQK6000-PB,339.99,Quadro K6000,12.0,902.0,902.0,Black / Silver,267.0,Mid-Range Gaming,33.991769547325106
AMD 100-505957,984.96,Radeon Pro WX 9100,16.0,1200.0,1500.0,Blue,267.0,Mid-Range Gaming,51.440329218106996
Zotac GAMING AMP Extreme Holo,1429.8,GeForce RTX 3090,24.0,1395.0,1815.0,Black,356.0,Mid-Range Gaming,68.20987654320987
XFX Speedster MERC 319 Limited,799.99,Radeon RX 6900 XT,16.0,1825.0,2495.0,Black,340.0,Workstation,71.91358024691357
PNY VCQ295NVS-X16-DVI-PB,57.0,Quadro NVS 295,0.25,540.0,540.0,Black / Green,168.0,Budget Gaming,11.43261316872428
EVGA XC3 BLACK GAMING,1505.49,GeForce RTX 3080 10GB,10.0,1440.0,1710.0,Black,285.0,Mid-Range Gaming,48.04526748971193
EVGA 04G-P3-2739-KR,99.99,GeForce GT 730,4.0,700.0,700.0,Black / Green,168.0,Budget Gaming,19.54732510288066
XFX Black Edition,299.95,Radeon RX 580,8.0,1405.0,1425.0,Black / White,279.0,Budget Gaming,39.60905349794238
AMD 100-506189,229.99,Radeon PRO W6400,4.0,2331.0,2331.0,Blue,168.0,Budget Gaming,53.10699588477365
Asus ROG-STRIX-LC-RX6900XT-T16G-GAMING,2029.82,Radeon RX 6900 XT,16.0,1825.0,2525.0,Black / Silver,277.0,Workstation,72.53086419753086
PNY Dual,743.54,GeForce GTX 1660 SUPER,6.0,1530.0,1785.0,Black,235.0,Mid-Range Gaming,44.44444444444445
EVGA 02G-P4-6333-KR,113.49,GeForce GT 1030,2.0,1290.0,1544.0,Black,145.0,Budget Gaming,34.34156378600824
AMD 100-506095,369.99,Radeon Pro W5500,8.0,1354.0,1900.0,Blue / White,241.0,Mid-Range Gaming,49.382716049382715
EVGA SC2 Gaming iCX,424.99,GeForce GTX 1070,8.0,1594.0,1784.0,White / Black,267.0,Mid-Range Gaming,46.99588477366255
Asus DUAL MINI OC,209.99,GeForce GTX 1650 G6,4.0,1410.0,1650.0,Black,200.0,Budget Gaming,39.09465020576132
EVGA XC ULTRA BLACK GAMING,444.98,GeForce GTX 1660 Ti,6.0,1500.0,1770.0,Black,268.0,Mid-Range Gaming,44.1358024691358
EVGA XC HYBRID GAMING,2999.99,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,Black / Clear,269.0,Mid-Range Gaming,47.7880658436214
PNY VCQP620-PB,174.99,Quadro P620,2.0,1266.0,1354.0,Black,145.0,Budget Gaming,30.432098765432098
Sparkle ORC OC,239.99,Arc A750,8.0,2050.0,2200.0,Blue / Black,222.0,Budget Gaming,55.55555555555556
Asus DUAL V2,174.99,GeForce GTX 1650 G6,4.0,1410.0,1620.0,Black / Silver,212.0,Budget Gaming,38.47736625514403
Gigabyte OC Rev 2.0,478.52,GeForce RTX 2060,6.0,1365.0,1755.0,Black / Gray,226.0,Mid-Range Gaming,43.82716049382716
VisionTek 901316,299.0,Radeon RX 5500 XT,8.0,1607.0,1845.0,Black,178.0,Budget Gaming,48.25102880658436
Zotac GAMING OC,408.0,GeForce GTX 1650 G5,4.0,1485.0,1695.0,Black / Silver,151.0,Mid-Range Gaming,40.02057613168724
Sapphire TOXIC Limited Edition,1329.98,Radeon RX 6900 XT,16.0,1825.0,2600.0,Black,270.0,Workstation,74.07407407407408
VisionTek 901491,59.99,Radeon HD 6570,1.0,480.0,480.0,Black,150.0,Budget Gaming,11.162551440329217
EVGA 01G-P3-1302-LR,89.99,GeForce 8400 GS,1.0,520.0,520.0,Black / Green,158.0,Budget Gaming,11.985596707818928
Asus GT610-SL-1GD3-L,85.44,GeForce GT 610,1.0,810.0,810.0,Black / Blue,185.0,Budget Gaming,17.952674897119344
PNY VCQK4200-PB,149.99,Quadro K4200,4.0,771.0,771.0,Black / Silver,241.0,Budget Gaming,21.008230452674894
Asus DirectCU II,381.02,GeForce GTX 770,2.0,1058.0,1058.0,Black / Red,271.0,Mid-Range Gaming,24.34156378600823
AMD 100-506085,399.99,Radeon Pro W5700,8.0,1243.0,1930.0,Blue / Silver,267.0,Mid-Range Gaming,50.0
Asus KO OC,739.9,GeForce RTX 3060 Ti,8.0,1410.0,1785.0,Black / Silver,275.0,Mid-Range Gaming,47.01646090534979
EVGA Superclocked ACX,799.95,GeForce GTX 780 Ti,3.0,1006.0,1072.0,Black / Silver,266.0,Mid-Range Gaming,25.915637860082306
XFX RX-68XTACBD9,1099.99,Radeon RX 6800 XT,16.0,1925.0,2360.0,Black,340.0,Workstation,69.13580246913578
MSI N730-2GD3V3,92.71,GeForce GT 730,2.0,700.0,700.0,White,145.0,Budget Gaming,16.97530864197531
EVGA XC BLACK GAMING,479.0,GeForce RTX 3050 8GB,8.0,1550.0,1777.0,Black,202.0,Mid-Range Gaming,46.85185185185185
AMD RADEON PRO WX 5100,346.96,Radeon Pro WX 5100,8.0,926.0,1206.0,Blue,173.0,Mid-Range Gaming,35.102880658436206
Asus GT710-SL-2GD5,89.99,GeForce GT 710,2.0,954.0,954.0,Blue / Silver,167.0,Budget Gaming,22.201646090534975
VisionTek 900356,59.91,Radeon HD 5450,2.0,0.0,0.0,Black / Red,0.0,Budget Gaming,2.57201646090535
PowerColor AXRX 6900XT 16GBD6-M2DHC,1506.66,Radeon RX 6900 XT,16.0,1825.0,1825.0,Black / Silver,267.0,Mid-Range Gaming,58.127572016460896
Inno3D AX Gaming X3W OC,798.0,GeForce RTX 4070,12.0,1920.0,2520.0,White / Blue,319.0,Mid-Range Gaming,67.28395061728395
VisionTek SFF,118.0,Radeon HD 7750,2.0,800.0,800.0,Red,130.0,Budget Gaming,19.032921810699587
Sapphire 100291DDR3L,53.15,Radeon HD 5450,0.5,650.0,650.0,Black / Green,0.0,Budget Gaming,14.017489711934159
Inno3D iChill X4,1256.08,GeForce RTX 3070 Ti,8.0,1575.0,1830.0,Black / Silver,300.0,Mid-Range Gaming,47.94238683127571
Gigabyte GV-N730D3-2GI,82.33,GeForce GT 730,2.0,902.0,902.0,Black / Blue,180.0,Budget Gaming,21.131687242798353
PNY VCQP2200-SB,421.43,Quadro P2200,5.0,1000.0,1493.0,None,201.0,Mid-Range Gaming,37.150205761316876
MSI VENTUS 2X V1,559.0,GeForce RTX 3060 Ti LHR,8.0,1410.0,1665.0,Black / Gray,235.0,Mid-Range Gaming,44.547325102880656
MSI D6 AERO ITX OC,199.99,GeForce GTX 1650 G6,4.0,1410.0,1620.0,Black / White,170.0,Budget Gaming,38.47736625514403
MSI VENTUS 3X OC LHR,1087.28,GeForce RTX 3080 10GB LHR,10.0,1440.0,1740.0,Black,305.0,Mid-Range Gaming,48.66255144032922
PNY VCGGT10302PB,109.0,GeForce GT 1030,2.0,1227.0,1468.0,Black / Silver,0.0,Budget Gaming,32.777777777777786
Sparkle TITAN OC,259.99,Arc A750,8.0,2050.0,2300.0,Blue / Black,306.0,Budget Gaming,57.61316872427984
Asus EVO,72.98,GeForce GT 730,2.0,902.0,927.0,Blue,170.0,Budget Gaming,21.64609053497942
AMD FirePro W9100,1079.99,FirePro W9100,16.0,930.0,930.0,Black / Red,275.0,Mid-Range Gaming,39.711934156378604
PNY VCGGTX10808PB,998.6,GeForce GTX 1080,8.0,1607.0,1733.0,Black / Red,267.0,Mid-Range Gaming,45.946502057613166
Asus R7240-2GD3-L,152.95,Radeon R7 240,2.0,730.0,730.0,Black / Red,159.0,Budget Gaming,17.59259259259259
HP 20X24AT,1219.5,RTX A4000,16.0,735.0,1560.0,Black,242.0,Mid-Range Gaming,52.674897119341566
EVGA K|NGP|N ACX 2.0+,599.9,GeForce GTX 980,4.0,1304.0,1418.0,Black / Silver,279.0,Mid-Range Gaming,34.32098765432098
MSI GeForce GTX 1060 6G OCV1,3824.56,GeForce GTX 1060 6GB,6.0,1544.0,1759.0,Black / White,188.0,Mid-Range Gaming,43.909465020576135
PNY VCQP600-PB,105.0,Quadro P600,2.0,1354.0,1455.0,Black,145.0,Budget Gaming,32.510288065843625
Asus STRIX,250.0,Radeon RX 560 - 1024,4.0,1175.0,1336.0,Black,194.0,Budget Gaming,32.63374485596708
AMD 100-506001,176.64,Radeon Pro WX 2100,2.0,925.0,1219.0,Blue,145.0,Budget Gaming,27.65432098765432
EVGA 02G-P4-6332-KR,114.1,GeForce GT 1030,2.0,1290.0,1544.0,None,145.0,Budget Gaming,34.34156378600824
XFX Speedster MERC 319 Ultra,1600.0,Radeon RX 6900 XT,16.0,1925.0,2340.0,Black,340.0,Workstation,68.72427983539094
Asus GT730-SL-2GD3-BRK,132.88,GeForce GT 730,2.0,902.0,902.0,Black,137.0,Budget Gaming,21.131687242798353
PNY VCQK2200-PB,159.0,Quadro K2200,4.0,1046.0,1046.0,Black / Green,202.0,Budget Gaming,26.666666666666668
PNY VCQK2000-PB,114.99,Quadro K2000,2.0,0.0,0.0,Black / Green,198.0,Budget Gaming,2.57201646090535
PowerColor AXRX 6700XT 12GBD6-M3DH,788.5,Radeon RX 6700 XT,12.0,2321.0,2581.0,Silver / Black,267.0,Mid-Range Gaming,68.53909465020577
PNY VCQ4000-PB,149.71,Quadro 4000,2.0,0.0,0.0,Black / Silver,0.0,Budget Gaming,2.57201646090535
AMD 100-506163,1826.59,Radeon Pro VII,16.0,1400.0,1700.0,Blue / Silver,305.0,Mid-Range Gaming,55.55555555555556
PNY VCQ2000D-PB,84.99,Quadro 2000D,1.0,625.0,625.0,Black / Green,178.0,Budget Gaming,14.146090534979425
EVGA 015-P3-1480-AR,413.17,GeForce GTX 480,1.5,700.0,700.0,Black / Silver,266.0,Mid-Range Gaming,16.33230452674897
PowerColor AX6570 1GBK3-H,64.0,Radeon HD 6570,1.0,650.0,650.0,Black / Red,0.0,Budget Gaming,14.660493827160495
PNY VCQM5000-PB,275.99,Quadro M5000,8.0,861.0,1038.0,Black / Green,267.0,Budget Gaming,31.64609053497942
Zotac ZT-71113-20L,102.56,GeForce GT 730,2.0,902.0,902.0,Black / Gold,146.0,Budget Gaming,21.131687242798353
PNY XLR8 Gaming Overclocked Edition,1989.0,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,Black / Silver,302.0,Mid-Range Gaming,47.7880658436214
AMD 100-505724,309.99,FirePro W7100,8.0,824.0,824.0,Black / Red,279.0,Mid-Range Gaming,27.242798353909457
Zotac GAMING AMP Core Holo,1459.9,GeForce RTX 3090,24.0,1395.0,1755.0,Black,328.0,Mid-Range Gaming,66.97530864197532
PNY VCG84512D3SPPB,110.98,GeForce 8400 GS,0.5,520.0,520.0,Black / Blue,0.0,Budget Gaming,11.342592592592593
EVGA 01G-P3-2711-KR,74.94,GeForce GT 710,1.0,954.0,954.0,Black,115.0,Budget Gaming,20.915637860082306
VisionTek 900614,229.99,Radeon HD 7750,2.0,0.0,0.0,Black / Red,0.0,Budget Gaming,2.57201646090535
EVGA 02G-P4-2643-KR,139.99,GeForce GT 640,2.0,901.0,901.0,Black,170.0,Budget Gaming,21.11111111111111
AMD FirePro W2100,119.96,FirePro W2100,2.0,630.0,630.0,Black / Red,0.0,Budget Gaming,15.534979423868311
PNY VCGGTX10502PB,254.38,GeForce GTX 1050,2.0,1354.0,1455.0,Black,178.0,Budget Gaming,32.510288065843625
PowerColor AXRX 560 4GBD5-DHA,345.0,Radeon RX 560 - 896,4.0,115.0,1176.0,Black,225.0,Mid-Range Gaming,29.34156378600823
AMD FirePro W4100,125.96,FirePro W4100,2.0,630.0,630.0,Black / Red,171.0,Budget Gaming,15.534979423868311
PNY VCQ400-PB,89.99,Quadro 400,0.5,0.0,0.0,Black / Green,0.0,Budget Gaming,0.6430041152263375
Gigabyte GV-R545OC-512I,99.99,Radeon HD 5450,0.5,700.0,700.0,Black / Blue,0.0,Budget Gaming,15.046296296296296
ATI FirePro 2270,99.98,FirePro 2270,0.5,600.0,600.0,Black / Red,170.0,Budget Gaming,12.988683127572015
PNY VCQ410-PB,69.98,Quadro 410,0.5,706.0,706.0,Black / Green,176.0,Budget Gaming,15.169753086419751
XFX PV-T95G-ZNF2,149.99,GeForce 9500 GT,1.0,550.0,550.0,Black / Green,167.0,Budget Gaming,12.602880658436213
KFA2 (1-Click OC),791.0,GeForce RTX 4060 Ti,8.0,2310.0,2565.0,Black,237.0,Mid-Range Gaming,63.065843621399175
Asus EAH6450 SILENT/DI/512MD3(LP),108.02,Radeon HD 6450,0.5,625.0,625.0,Red / Silver,177.0,Budget Gaming,13.503086419753085
PNY VCQK1200DP-PB,195.0,Quadro K1200,4.0,1058.0,1124.0,Black / Green,160.0,Budget Gaming,28.271604938271604
HP C2J92AA,85.0,Quadro K600,1.0,876.0,876.0,Black / Green,160.0,Budget Gaming,19.310699588477366
XFX HD-667X-ZWF4,149.94,Radeon HD 6670,1.0,800.0,800.0,Black / Silver,198.0,Budget Gaming,17.74691358024691
AMD FirePro 2270,99.98,FirePro 2270,0.5,600.0,600.0,Black / Red,170.0,Budget Gaming,12.988683127572015
VisionTek 900270,85.89,Radeon HD 4350,0.5,575.0,575.0,None,0.0,Budget Gaming,12.474279835390947
EVGA 02G-P3-2717-KR,82.0,GeForce GT 710,2.0,954.0,954.0,Black,115.0,Budget Gaming,22.201646090534975
EVGA Superclocked,249.99,GeForce GT 740,2.0,1059.0,1059.0,Black / White,153.0,Budget Gaming,24.362139917695472
AMD 100-505956,2448.02,Radeon Pro WX 8200,8.0,1200.0,1530.0,Blue,267.0,Mid-Range Gaming,41.76954732510288
PNY VCQ6000-PB,350.01,Quadro 6000,6.0,0.0,0.0,Black / Silver,0.0,Mid-Range Gaming,7.716049382716049
VisionTek 900574,140.99,Radeon HD 7750,1.0,0.0,0.0,Black / Red,170.0,Budget Gaming,1.286008230452675
