name,price,chipset,memory,core_clock,boost_clock,color,length,purpose,performance_score
PowerColor RX 7900 XT 20G,819.99,Radeon RX 7900 XT,20.0,2000.0,2400.0,Black,276.0,Workstation,75.1028806584362
Sapphire 21323-01-20G,878.18,Radeon RX 7900 XT,20.0,2000.0,2400.0,Black,276.0,Workstation,75.1028806584362
Asus ROG STRIX GAMING,2359.98,GeForce RTX 4090,24.0,2235.0,2550.0,White,358.0,High-End Gaming,83.33333333333333
EVGA XC GAMING,575.0,GeForce RTX 3060 12GB,12.0,1320.0,1882.0,Black,202.0,Mid-Range Gaming,54.15637860082304
MSI VENTUS 2X 8GD6X OC,354.99,GeForce RTX 3060 Ti,8.0,1410.0,1695.0,Black,232.0,Mid-Range Gaming,45.16460905349794
PNY VERTO,319.99,GeForce RTX 3060 Ti LHR,8.0,1410.0,1665.0,Black,247.0,Mid-Range Gaming,44.547325102880656
MSI GAMING X,273.06,GeForce GTX 1660 SUPER,6.0,1530.0,1830.0,Black,247.0,Budget Gaming,45.370370370370374
MSI VENTUS GP OC,370.33,GeForce RTX 2060 SUPER,8.0,1470.0,1665.0,Silver / Black,232.0,Mid-Range Gaming,44.547325102880656
Asus TUF Gaming EVO OC,239.99,GeForce GTX 1660 Ti,6.0,1500.0,1845.0,Black / Gray,206.0,Budget Gaming,45.67901234567901
Gigabyte EAGLE OC Rev 2.0,308.63,GeForce RTX 3060 12GB,12.0,1320.0,1807.0,Black,242.0,Mid-Range Gaming,52.613168724279824
XFX Speedster QICK 308 Black,269.99,Radeon RX 7600,8.0,1875.0,2755.0,Black,272.0,Budget Gaming,66.97530864197532
PowerColor Hellhound Spectral,1069.99,Radeon RX 7900 XTX,24.0,2300.0,2525.0,White,338.0,High-End Gaming,82.81893004115226
MSI D6 VENTUS XS OC,154.99,GeForce GTX 1650 G6,4.0,1410.0,1620.0,Black / Silver,178.0,Budget Gaming,38.47736625514403
XFX Speedster QICK 308 ULTRA,249.99,Radeon RX 6650 XT,8.0,2055.0,2689.0,Black / Silver,274.0,Budget Gaming,65.61728395061728
Asus DUAL EVO OC,351.6,GeForce RTX 2060,6.0,1365.0,1785.0,Black,242.0,Mid-Range Gaming,44.44444444444445
Gigabyte GAMING OC D6X,339.99,GeForce RTX 3060 Ti,8.0,1410.0,1755.0,Black / Silver,286.0,Mid-Range Gaming,46.3991769547325
Zotac GAMING Twin Fan,239.99,GeForce GTX 1660 SUPER,6.0,1530.0,1785.0,Black,173.0,Budget Gaming,44.44444444444445
EVGA XC3 ULTRA GAMING,839.95,GeForce RTX 3070,8.0,1500.0,1770.0,Black / Silver,285.0,Mid-Range Gaming,46.70781893004115
Gigabyte AORUS MASTER,1999.99,GeForce RTX 4090,24.0,2235.0,2235.0,Black,358.0,High-End Gaming,76.85185185185185
MSI GeForce RTX 3080 RTX 3080 SUPRIM X 10G,1079.99,GeForce RTX 3080 10GB,10.0,1440.0,1920.0,Black / Silver,336.0,Mid-Range Gaming,52.36625514403291
Asus Noctua OC,1649.99,GeForce RTX 4080,16.0,2205.0,2625.0,Brown / Beige,310.0,High-End Gaming,74.58847736625515
