name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Logitech G710,349.99,Gaming,Cherry MX Blue,White,False,Wired,Black / Blue,Premium Gaming,79.0
SteelSeries Apex M750 TKL RGB,107.71,Gaming,SteelSeries QX2 Red,RGB,True,Wired,Black,Compact,68.0
HP HyperX Alloy FPS RGB,63.0,Gaming,Kailh Silver Speed,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Cooler Master SK653,120.96,Gaming,TTC Red Low Profile,RGB,False,Bluetooth Wireless,Gray / Black,Mid-Range Gaming,80.0
Corsair K65 RGB MINI Pink Elixir,129.14,Gaming,Cherry MX Speed Silver,RGB,True,Wired,Pink / White,Compact,88.0
Logitech MX KEYS MINI,99.99,Mini,None,None,True,"Wired, Wireless, Bluetooth Wireless",Gray,Compact,50.0
Corsair K55 + HARPOON RGB,172.95,Gaming,None,RGB,False,Wired,Black,Premium Gaming,68.0
Microsoft Desktop 900,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Apple Magic,99.0,Slim,None,None,False,Bluetooth Wireless,White,Mid-Range Gaming,50.0
Ducky One 2 RGB TKL,115.68,Standard,Cherry MX Blue,RGB,True,Wired,Black,Compact,88.0
Razer BlackWidow Chroma,119.99,Gaming,Razer Green,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Corsair K70 LUX RGB,165.2,Gaming,Cherry MX Brown,RGB,False,Wired,Black,Premium Gaming,88.0
AOC AGK700,138.33,Gaming,Cherry MX Red,RGB,False,Wired,Black / Red,Mid-Range Gaming,88.0
Monoprice Dark Matter Collider,99.99,Gaming,Cherry MX Red,RGB,True,Wired,Black,Compact,88.0
Trust GXT 860 Thura,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Asus TUF Gaming K1,49.99,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Verbatim 99793,15.99,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Logitech MX 5500 Revolution,756.87,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Alienware AW510K Dark side of the moon,105.94,Gaming,Cherry MX Low Profile Red,RGB,False,Wired,Black / Silver,Mid-Range Gaming,88.0
Rosewill NEON K85 RGB BR,64.04,Gaming,Kailh Brown,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Corsair K70 RGB PRO UK,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Corsair K95 RGB PLATINUM UK,165.2,Gaming,Cherry MX Brown,RGB,False,Wired,Black,Premium Gaming,88.0
Thermaltake TT Premium X1 RGB,126.67,Gaming,Cherry MX Blue,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Corsair K63 Special Edition (MX Red),109.99,Gaming,Cherry MX Red,Blue,True,Wireless,None,Compact,91.0
Corsair K65 RGB MINI Ethereal Blue,129.99,Gaming,Cherry MX Speed Silver,RGB,True,Wired,Blue / White,Compact,88.0
Redragon K561 VISNU,50.78,Gaming,Outemu Blue,RGB,True,Wired,Black,Compact,68.0
CyberPowerPC Skorpion K2,82.99,Gaming,CP Kontact Blue,RGB,False,Wired,Black,Mid-Range Gaming,68.0
HP HyperX Alloy Elite RGB,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
V7 CKW200US,22.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
HP HyperX Alloy Core RGB UK,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair RGB MK.2 Low Profile,219.99,Gaming,Cherry MX Low Profile Red,RGB,False,Wired,Black,Premium Gaming,88.0
Microsoft APB-00001,26.95,Slim,None,None,False,Wired,Black,Office/Budget,38.0
HP OMEN 1100,89.99,Gaming,Greetech Blue,Red,False,Wired,Black / Red,Mid-Range Gaming,59.0
Asus ROG Strix Flare,129.99,Gaming,Cherry MX Blue,RGB,False,Wired,Black,Mid-Range Gaming,88.0
MSI ‎VIGOR GK71 SONIC BLUE,119.99,Gaming,MSI Sonic Blue,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Asus TUF GAMING K5,154.49,Gaming,None,RGB,False,Wired,Black,Premium Gaming,68.0
HAVIT HV-KB395L,49.55,Gaming,Kailh Blue,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Logitech G910 Orion Spark,299.98,Gaming,Romer-G Tactile,RGB,False,Wired,Black,Premium Gaming,68.0
Corsair K40,59.99,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Microsoft N9Z-00001,22.99,Slim,None,None,True,Wireless,Black,Office/Budget,50.0
Drevo BladeMaster TE RGB,89.41,Gaming,Gateron Blue,RGB,True,Wired,Black,Compact,80.0
Tempest K9,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Razer Blackwidow X Chroma,173.91,Gaming,Razer Green,RGB,False,Wired,Black,Premium Gaming,88.0
Cooler Master MK850,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Mad Catz The Authentic S.T.R.I.K.E. 4,109.98,Gaming,Cherry MX Red,Multicolor,False,Wired,Black / Silver,Mid-Range Gaming,79.0
Velocifire TKL78,53.89,Standard,Outemu Brown,Blue,True,Wired,Black,Compact,59.0
Targus KB55,18.92,Slim,None,None,True,Bluetooth Wireless,Black,Office/Budget,50.0
Das Keyboard 4Q,199.0,Gaming,Cherry MX Brown,RGB,False,Wired,Black,Premium Gaming,88.0
Adesso AKB-111UB,14.99,Mini,None,None,True,Wired,Black,Compact,38.0
Cooler Master MK730,109.69,Gaming,Cherry MX Brown,RGB,True,Wired,Black,Compact,88.0
