name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Adesso WKB-3100UB,41.48,Mini,None,None,True,Wireless,Black,Compact,50.0
Thermaltake Commander Bundle,138.09,Gaming,None,Blue,False,Wired,Black / Silver,Mid-Range Gaming,59.0
Adesso AKB-630UB,27.95,Standard,None,None,False,Wired,Black,Office/Budget,38.0
ROCCAT Horde AIMO,67.98,Gaming,None,RGB,False,Wired,Gray,Mid-Range Gaming,68.0
SolidTek KB-730BU,60.0,Mini,None,None,False,Wired,Black,Compact,38.0
Logitech EX 100 Cordless Desktop,69.98,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Lenovo Preferred Pro USB Keyboard,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech K310,175.84,Standard,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Filco Majestouch-2,145.0,Standard,Cherry MX Blue,None,True,Wired,Black,Compact,58.0
Adesso Antimicrobial Waterproof Flex Keyboard,17.98,Mini,None,None,False,Wired,Black,Compact,38.0
Corsair K70 LUX,80.29,Gaming,Cherry MX Brown,Red,False,Wired,Black,Mid-Range Gaming,79.0
Zalman ZM-K300M,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Logitech K200,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Razer Blackwidow Ultimate Dragon Age II Edition,152.15,Gaming,Cherry MX Blue,Red,False,Wired,Black,Premium Gaming,79.0
Razer Lycosa,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
Razer TRON,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
Cooler Master Storm QuickFire Rapid,130.18,Gaming,Cherry MX Blue,None,True,Wired,Gray / Black,Compact,58.0
Corsair Vengeance K60,128.65,Gaming,Cherry MX Red,None,False,Wired,Black / Gray,Mid-Range Gaming,58.0
SteelSeries Merc Stealth,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
SteelSeries Shift Medal of Honor Edition,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Microsoft Sidewinder X4 (UK Layout),46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Razer BlackWidow 2013,128.33,Gaming,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Razer BlackWidow Tournament Edition,130.35,Gaming,Cherry MX Blue,None,True,Wired,Black,Compact,58.0
Razer DeathStalker,113.36,Gaming,None,Green,False,Wired,Black,Mid-Range Gaming,59.0
Ducky DK9008 Shine II,97.09,Gaming,Cherry MX Red,White,False,Wired,Pink / White,Mid-Range Gaming,79.0
Panasonic iKey,386.5,Slim,None,Red,False,Wired,Black,Mid-Range Gaming,59.0
Dell 469-4060,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
GAMDIAS HERMES,152.15,Gaming,Cherry MX Blue,Red,False,Wired,Black,Premium Gaming,79.0
Razer Blackwidow 2014,161.61,Gaming,Razer Green,None,False,Wired,Black,Premium Gaming,58.0
Razer Blackwidow Ultimate 2014 Stealth Edition,195.9,Gaming,Razer Orange,Green,False,Wired,Black,Premium Gaming,79.0
Logitech Keyboard and Mouse,85.26,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Aula SHIHUNZAN,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
Rii Mini i8,51.61,Mini,None,None,True,Wireless,Black / White,Compact,50.0
SteelSeries Apex M800,85.06,Gaming,SteelSeries QS1,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Microsoft Wired Desktop 400 UK,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Razer DeathStalker Chroma,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Razer BlackWidow Tournament Edition Chroma,102.5,Gaming,Razer Green,RGB,True,Wired,Black,Compact,88.0
SMK-Link VP3810,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Ducky Ducky Shine 5 RGB,126.85,Gaming,Cherry MX Blue,RGB,False,Wired,Black,Mid-Range Gaming,88.0
EagleTec KG010,47.06,Gaming,Outemu Blue,Blue,False,Wired,Black,Mid-Range Gaming,59.0
EagleTec KG011,46.85,Gaming,Outemu Blue,Blue,False,Wired,White,Mid-Range Gaming,59.0
Corsair STRAFE MX Silent,147.52,Gaming,Cherry MX Silent,Red,False,Wired,Black,Mid-Range Gaming,79.0
Cooler Master Lite L,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Cooler Master MasterKeys Pro L,156.27,Standard,Cherry MX Brown,White,False,Wired,Black,Mid-Range Gaming,79.0
Microsoft EKZ-00001,96.97,Slim,None,None,False,Wireless,Gray,Mid-Range Gaming,50.0
SteelSeries Apex M750,110.19,Gaming,SteelSeries QX2 Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Dell U473D,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Zalman ZM-K600S,19.99,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Gigabyte FORCE K83,152.42,Standard,Cherry MX Red,None,False,Wired,Black,Mid-Range Gaming,58.0
SteelSeries Apex M500,120.53,Standard,Cherry MX Red,Blue,False,Wired,Black,Mid-Range Gaming,79.0
HP HyperX Alloy Elite,80.29,Gaming,Cherry MX Brown,Red,False,Wired,Black,Mid-Range Gaming,79.0
HAVIT HV-KB380L,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
Leopold FC980CEW,118.27,Standard,Topre 45g,None,False,Wired,Beige / Gray,Mid-Range Gaming,38.0
Redragon K552-N,50.09,Standard,Outemu Blue,None,True,Wired,Black,Compact,38.0
Topre Realforce RGB,85.06,Gaming,Topre 45g,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair K83,124.94,Standard,None,White,True,Wireless,Gray,Compact,71.0
Ducky One 2 (MX Brown),166.02,Gaming,Cherry MX Brown,Blue,False,Wired,Black,Premium Gaming,79.0
Ducky One 2 (MX Blue),119.78,Gaming,Cherry MX Blue,Blue,False,Wired,Black,Mid-Range Gaming,79.0
AUKEY KM-G9,50.09,Standard,Outemu Blue,None,True,Wired,Black,Compact,38.0
Velocifire VM01,61.87,Standard,Outemu Brown,White,False,Wired,Black,Mid-Range Gaming,59.0
iKBC CD108,160.1,Gaming,Cherry MX Brown,None,False,Wired,Black,Premium Gaming,58.0
Trust GXT 890 CADA RGB,52.87,Gaming,Outemu Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
GameSir GK300-GY,134.22,Gaming,TTC Blue,White,False,Wireless,Black,Mid-Range Gaming,71.0
Wooting Wooting Two,85.06,Gaming,Flaretech Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Corsair K65 RGB MINI WATERMELON BLAST,129.14,Gaming,Cherry MX Speed Silver,RGB,True,Wired,Pink / Green,Compact,88.0
Razer Pro Type Ultra - ES,129.76,Standard,Razer Yellow,White,False,"Wired, Wireless, Bluetooth Wireless",White / Gray,Mid-Range Gaming,91.0
DROP MDX-31827-11,196.0,Gaming,Kailh Silver Speed,RGB,True,"Wired, Wired",Black,Premium Gaming,80.0
Cherry G84-4100LCMUS-0,75.65,Mini,Cherry ML,None,False,Wired,White,Compact,38.0
Kensington Pro Fit,24.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
AZIO MK RETRO,89.99,Standard,Kailh Blue,None,False,Wired,Black / Silver,Mid-Range Gaming,50.0
Tripp Lite IN3010KB,69.28,Slim,None,None,False,Wireless,White,Mid-Range Gaming,50.0
Verbatim 99789,26.36,Standard,None,White,False,Wired,Black,Office/Budget,59.0
Kensington K72357US,31.99,Slim,None,None,False,Wired,Black,Office/Budget,38.0
HP DT527A#ABA,29.99,Standard,None,None,False,Wired,Black,Office/Budget,38.0
EVGA Z10 (Kailh Blue),117.47,Gaming,Kailh Blue,Red,False,Wired,Black,Mid-Range Gaming,71.0
Microsoft Wireless Desktop 2000,85.26,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Logitech Call of Duty: MW3 Edition,143.27,Gaming,None,Green,False,Wired,Black,Mid-Range Gaming,59.0
A4Tech 3100N,47.1,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
Filco Ninja Majestouch-2,160.0,Standard,Cherry MX Red,None,False,Wired,Black,Mid-Range Gaming,58.0
Logitech Desktop MK120-TAA LOG920004218,44.97,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Zalman K400G,23.36,Gaming,None,Red,False,Wired,Black,Mid-Range Gaming,59.0
Perixx 10532,35.09,Mini,None,None,True,Wireless,Black,Compact,50.0
Adesso SlimTouch 110,29.99,Slim,None,Multicolor,True,Wired,Black,Office/Budget,59.0
Kensington K72357USA,31.99,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Adesso SlimTouch 510,27.71,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech G410 Atlas Spectrum,199.95,Gaming,Romer-G Tactile,RGB,True,Wired,Black,Premium Gaming,68.0
Razer BlackWidow Chroma Call of Duty: Black Ops III Edition,199.99,Gaming,Razer Green,RGB,False,Wired,Black,Premium Gaming,88.0
Adesso WKB-4040UB,64.99,Mini,None,None,True,Wireless,Black,Compact,50.0
IOGEAR KeyMander KORE,190.0,Gaming,None,RGB,True,Wired,Black,Premium Gaming,68.0
Kensington K72344US,35.99,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Mistel BAROCCO MD770,181.99,Ergonomic,Cherry MX Red,RGB,True,Wired,Black,Compact,88.0
Das Keyboard 4C,139.0,Gaming,Cherry MX Brown,None,True,Wired,Black,Compact,58.0
Redragon KALA K557,48.55,Gaming,Outemu Blue,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Microsoft E6K-00001,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Adesso AKB-310UB,42.99,Mini,None,None,True,Wired,Black,Compact,38.0
Adesso AKB-131HB,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Ergoguys CD-1038,34.95,Ergonomic,None,None,False,Wired,Black,Office/Budget,38.0
Adesso AKB-110B,25.49,Mini,None,None,True,Wired,Black,Compact,38.0
Cherry G84-5500LUMEU-0,330.0,Standard,None,None,False,Wired,Gray,Mid-Range Gaming,38.0
Lenovo Keyboard,65.0,Standard,None,None,False,Wired,Black,Mid-Range Gaming,38.0
V7 KC0A1-4N6P Keyboard,49.0,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Microsoft Wedge Mobile Keyboard For Business,257.65,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
i-rocks RF-6577L-BK,36.99,Slim,None,None,False,Wireless,Black / Silver,Office/Budget,50.0
Perixx PERIBOARD-409H,24.99,Mini,None,None,False,Wired,Black,Compact,38.0
Adesso SlimTouch 120 - 3-Color Illuminated Compact Multimedia Keyboard,29.99,Standard,None,Multicolor,False,Wired,Black,Office/Budget,59.0
Cougar ATTACK X3 (MX Red),139.37,Gaming,Cherry MX Red,RGB,False,Wired,Black / White,Mid-Range Gaming,88.0
Cooler Master SK630,132.33,Gaming,Cherry MX Low Profile Red,RGB,True,Wired,Black,Compact,88.0
Adesso AKB-132HB,19.23,Standard,None,None,False,Wired,Black,Office/Budget,38.0
ROCCAT Horde,213.88,Gaming,None,Blue,False,Wired,Black,Premium Gaming,59.0
Tesoro Lobera Spectrum,49.55,Gaming,Kailh Blue,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Tempest Diablo,85.06,Gaming,Content Red,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Razer Anansi,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Microsoft Desktop 400,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Microsoft Natural Ergonomic Keyboard 4000,103.43,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Rosewill RK-200,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech K100,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Rosewill RK-101,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Gigabyte GK-K8100-RED,47.66,Gaming,None,None,False,Wired,Red,Mid-Range Gaming,38.0
KeyTronic E06101P1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
Verbatim 97472,47.27,Mini,None,None,True,Wireless,Black,Compact,50.0
Saitek Eclipse III,198.69,Standard,None,Multicolor,False,Wired,Black,Mid-Range Gaming,59.0
Gateway KR-0401,63.35,Standard,None,None,False,Wireless,Black / Gray,Mid-Range Gaming,50.0
Kensington K64370,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Fujitsu FPCKD38A1P,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
SteelSeries 6GV/2,152.42,Standard,Cherry MX Red,None,False,Wired,Black,Mid-Range Gaming,58.0
Ducky DK9008 Shine II (M Edition),156.27,Standard,Cherry MX Brown,White,False,Wired,Black,Mid-Range Gaming,79.0
Ducky Year of the Dragon,117.55,Standard,Cherry MX Red,Blue,True,Wired,Black,Compact,79.0
MSI GK-601,128.65,Gaming,Cherry MX Red,None,False,Wired,Black / Yellow,Mid-Range Gaming,58.0
HP QY449AA#ABA,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Samsung Keyboard,82.64,Slim,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Ducky DK9008 Shine 3 Red LED Backlit (Black Cherry MX),125.19,Standard,Cherry MX Black,Red,False,Wired,Black,Mid-Range Gaming,79.0
Ducky DK9087 Shine 3 TKL White LED Backlit (Red Cherry MX),77.78,Standard,Cherry MX Red,White,True,Wired,Black,Compact,79.0
Keycool 180 Key White,121.16,Standard,Cherry MX Blue,Multicolor,False,Wired,White,Mid-Range Gaming,79.0
A4Tech KRS-85,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Perixx PERIBOARD-510H PLUS,49.99,Mini,None,None,False,Wired,Black,Compact,38.0
ROCCAT Ryos MK Pro,90.42,Gaming,Cherry MX Black,Blue,False,Wired,Black,Mid-Range Gaming,79.0
Cobra E-Blue Mazer,296.36,Gaming,Cherry MX Blue,Blue,False,Wired,Black / Blue,Premium Gaming,79.0
HP PS/2 Keyboard (QY774AA),46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Genius KB-110X,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech K810,104.99,Slim,None,White,True,Bluetooth Wireless,Black,Compact,71.0
Cooler Master QuickFire Rapid-i,133.78,Standard,Cherry MX Brown,White,True,Wired,Black / White,Compact,79.0
Topre Realforce 104UB,443.52,Standard,Topre Variable,None,False,Wired,Black,Mid-Range Gaming,38.0
Cooler Master CM Storm Trigger Z,119.78,Gaming,Cherry MX Blue,Blue,False,Wired,Black,Mid-Range Gaming,79.0
Corsair K95,94.18,Gaming,Cherry MX Red,White,False,Wired,Black,Mid-Range Gaming,79.0
Zowie CELERITAS,147.29,Standard,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Azza Poseidon,71.38,Gaming,None,Red,False,Wired,Black / Red,Mid-Range Gaming,59.0
Aula BE FIRE SI-859,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
BlueFinger CM200,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
Vortex POK3R,147.69,Mini,Cherry MX Brown,None,False,Wired,Black,Compact,58.0
Genius Scorpion K5,40.49,Gaming,None,RGB,False,Wired,Black / Gray,Mid-Range Gaming,68.0
A4Tech B120,77.63,Gaming,None,Red,False,Wired,Black,Mid-Range Gaming,59.0
Logitech K480,76.56,Slim,None,None,False,Bluetooth Wireless,Black / Green,Mid-Range Gaming,50.0
G.Skill RIPJAWS KM780R RGB,126.85,Gaming,Cherry MX Blue,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Asus Cerberus Arctic,189.89,Gaming,None,Multicolor,False,Wired,White / Black,Premium Gaming,59.0
Razer Chroma Blackwidow Professional,173.91,Gaming,Razer Green,RGB,False,Wired,Black,Premium Gaming,88.0
FNATIC Rush Pro Gaming,110.6,Gaming,Cherry MX Red,Red,False,Wired,Black,Mid-Range Gaming,79.0
SHARKOON Skiller Pro Plus,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
ROCCAT SOVA MK,82.81,Gaming,TTC Brown,Blue,True,Wired,Black,Compact,59.0
Razer Blackwidow Tournament Edition Stealth,74.28,Gaming,Razer Orange,White,True,Wired,Black,Compact,79.0
Cooler Master MasterSet MS120 (US),219.23,Gaming,None,RGB,True,Wired,Black,Premium Gaming,68.0
Cooler Master MasterKeys S (MX Speed Silver),146.92,Gaming,Cherry MX Speed Silver,None,True,Wired,Black,Compact,58.0
Cooler Master MasterKeys MK750 (MX Brown),165.2,Gaming,Cherry MX Brown,RGB,False,Wired,Black,Premium Gaming,88.0
Cooler Master MasterKeys Pro S White (MX Brown),137.66,Standard,Cherry MX Brown,White,True,Wired,Black,Compact,79.0
Cooler Master MasterKeys Pro M White (MX Brown),156.27,Standard,Cherry MX Brown,White,False,Wired,Black,Mid-Range Gaming,79.0
Ducky Shine 6,112.67,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Logitech G513 Silver,267.68,Gaming,Romer-G Tactile,RGB,False,Wired,Silver / Black,Premium Gaming,68.0
MSI VIGOR GK70,119.27,Gaming,Cherry MX Red,RGB,True,Wired,Black,Compact,88.0
Ducky Rainbow One White,109.49,Standard,Cherry MX Green,None,True,Wired,White,Compact,58.0
HP Sequencer,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Tesoro Excalibur Spectrum,70.89,Gaming,Kailh Brown,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Ducky ONE2 SKYLINE,143.45,Gaming,Cherry MX Brown,None,True,Wired,Black,Compact,58.0
Redragon K551-R,48.55,Gaming,Outemu Blue,RGB,False,Wired,Black,Mid-Range Gaming,68.0
AUKEY KM-G3-US,50.95,Gaming,Outemu Blue,RGB,False,Wired,Silver / Black,Mid-Range Gaming,68.0
Drevo BladeMaster PRO,144.61,Gaming,Cherry MX Red,RGB,True,Wireless,Gray,Compact,100.0
Corsair K65 RGB MINI BERRY WAVE,128.72,Gaming,Cherry MX Speed Silver,RGB,True,Wired,Blue / White,Compact,88.0
MSI Vigor GK50 Low Profile,111.39,Gaming,Kailh Low Profile,RGB,False,Wired,Black / Silver,Mid-Range Gaming,80.0
Razer Pro Type Ultra - NO,129.76,Standard,Razer Yellow,White,False,"Wired, Wireless, Bluetooth Wireless",White / Gray,Mid-Range Gaming,91.0
Rosewill NEON K75 V2,46.27,Gaming,Kailh Blue,RGB,False,Wired,Black,Mid-Range Gaming,80.0
Cherry G80-11900LUMEU-0,146.91,Mini,Cherry MX Black,None,False,Wired,Gray,Compact,58.0
Nixeus MK-BN15,102.47,Gaming,Kailh Brown,None,True,Wired,Black / Gray,Compact,50.0
Microsoft WS2-00025,81.0,Standard,None,None,False,Bluetooth Wireless,Gray,Mid-Range Gaming,50.0
HP Slim,49.99,Slim,None,None,False,Wireless,Black,Office/Budget,50.0
Das Keyboard 4 root,149.0,Gaming,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Microsoft Natural Keyboard Elite,269.95,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry G84-5200LCMEU-2,98.65,Standard,Cherry ML,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry G83-6104,136.36,Standard,None,None,False,Wired,Gray,Mid-Range Gaming,38.0
Logitech K750 Keyboard,48.87,Slim,None,None,False,Wireless,Silver / Black,Office/Budget,50.0
Perixx PERIBOARD-407B,19.98,Mini,None,None,False,Wired,Black,Compact,38.0
Cooler Master MasterSet MS120 (IT),58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Lenovo USB Smartcard,29.99,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Kensington K64406US,31.89,Standard,None,None,False,Wired,White,Office/Budget,38.0
Logitech K250,147.88,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Microsoft Natural Elite,259.95,Ergonomic,None,None,False,Wired,White,Mid-Range Gaming,38.0
HP FK218AA#ABA,198.81,Mini,None,None,False,Wired,Black,Compact,38.0
Adesso AKB-440UB,53.46,Slim,None,None,False,Wired,Black,Mid-Range Gaming,38.0
IOGEAR GKM502,48.62,Standard,None,None,False,Wired,Silver / Black,Office/Budget,38.0
V7 KC0A2-4L3P Keyboard,19.48,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Dell KM632,208.7,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Zalman K500,122.4,Mini,Kailh Red,None,True,Wired,Black,Compact,50.0
Logitech Wireless All-in-One Keyboard TK820,224.85,Slim,None,None,True,Wireless,Black,Compact,50.0
Perixx 10165,54.99,Slim,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Microsoft Digital Media Pro,243.49,Ergonomic,None,None,False,Wired,Black / Silver,Mid-Range Gaming,38.0
GameMax Click,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
Adesso AKB-450UBw,65.17,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Targus AKB30US,21.24,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Das Keyboard 5QS,199.0,Gaming,Gamma Zulu Tactile,RGB,False,Wired,Black,Premium Gaming,68.0
SolidTek KB-260ABU-SP,23.5,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HP RC465AA#ABA,49.99,Standard,None,None,False,Wired,Silver / Black,Office/Budget,38.0
Microsoft 3TJ-00001,187.53,Ergonomic,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Microsoft Wireless Desktop 3000,79.98,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Microsoft 5SH-00001,38.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
Cherry G84-4420LUBEU-0,164.0,Slim,Cherry ML,None,False,Wired,Gray,Mid-Range Gaming,38.0
Adesso AKB-410UB,53.92,Mini,None,None,True,Wired,Black,Compact,38.0
Cherry G83-6644LUAEU-2,59.0,Standard,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry G86-71410EUADAA,159.99,Standard,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Cherry Ultraslim 4400 Series,160.38,Slim,Cherry ML,None,False,Wired,Black,Mid-Range Gaming,38.0
HP FK221AT#ABA,139.59,Mini,None,None,False,Wired,Black,Compact,38.0
Cherry G84-5400LUMEU-2,140.99,Slim,Cherry ML,None,False,Wired,Black,Mid-Range Gaming,38.0
Logitech Fold-Up Keyboard,26.45,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Fellowes 98915,44.99,Ergonomic,None,None,False,Wired,Black,Office/Budget,38.0
SolidTek Keyboard,78.11,Standard,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Microsoft PL2 Wedge Mobile Keyboard,169.99,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Microsoft L2 Sculpt Comfort Keyboard,80.25,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
SteelSeries Apex [RAW],81.36,Gaming,None,White,False,Wired,Black,Mid-Range Gaming,59.0
matias Laptop Pro for Mac,159.95,Mini,ALPS White,None,True,Wired,Black / Silver,Compact,38.0
Perixx PERIDUO-707B PLUS,29.99,Standard,None,None,True,Wireless,Black,Office/Budget,50.0
HP K1500,22.99,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Das Keyboard Professional S for Mac,119.0,Standard,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Thermaltake Knucker Team DK Edition,39.98,Gaming,None,None,False,Wired,Red / White,Mid-Range Gaming,38.0
Turtle Beach IMPACT 500,107.96,Standard,Cherry MX Blue,None,True,Wired,Black,Compact,58.0
Monoprice 11795,92.52,Slim,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
Nixeus MK-BL15,73.03,Gaming,Kailh Blue,None,True,Wired,Black / Gray,Compact,50.0
Adesso AKB-160UB,30.29,Ergonomic,None,None,False,Wired,Black,Office/Budget,38.0
Adesso WKB-3150UB,59.16,Ergonomic,None,None,True,Wireless,Black,Compact,50.0
SIIG JK-WR0T12-S1,24.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
ROCCAT Suora,79.25,Gaming,TTC Brown,Blue,False,Wired,Black,Mid-Range Gaming,59.0
DROP MDX-31827-8,200.0,Gaming,Kailh Halo Clear,RGB,True,"Wired, Wired",Black,Premium Gaming,80.0
DROP MDX-22176-14,210.0,Gaming,Cherry MX Brown,RGB,True,"Wired, Wired",Gray,Premium Gaming,88.0
Gigabyte GK-K8100-YEL,47.66,Gaming,None,None,False,Wired,Yellow,Mid-Range Gaming,38.0
Microsoft JWD-00046,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
HP DT528A#ABA,33.33,Standard,None,None,False,Wired,Black / Silver,Office/Budget,38.0
Microsoft Keyboard 400,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Microsoft Keyboard 200,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Razer Arctosa,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Thermaltake eSPORTS Challenger Ultimate,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Apple MC184LL/B,89.89,Mini,None,None,True,Bluetooth Wireless,Silver,Compact,50.0
Microsoft 2LF-00001,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Gigabyte Force K3,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
SIIG JK-US0412-S1,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Razer BlackWidow,128.33,Gaming,Cherry MX Blue,None,False,Wired,Black,Mid-Range Gaming,58.0
Saitek Cyborg V5,77.63,Gaming,None,Red,False,Wired,Black,Mid-Range Gaming,59.0
Gigabyte GK-K6150,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G86-51410EUADAA,66.22,Mini,None,None,False,Wired,Black,Compact,38.0
Rosewill RIKB-11001,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Adesso ACK-595PW,71.63,Mini,None,None,True,Wired,White,Compact,38.0
KeyTronic CLASSIC-U1,45.76,Standard,None,None,False,Wired,Beige,Office/Budget,38.0
KeyTronic E03601U2M,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Cherry G83-6104LANUS-0,182.14,Standard,None,None,False,Wired,Gray,Mid-Range Gaming,38.0
SolidTek KBP-3100BU,53.2,Mini,None,None,False,Wired,Black,Compact,38.0
ROCCAT Arvo,182.12,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
ARCTIC K381,44.83,Slim,None,None,False,Wired,Black,Office/Budget,38.0
Microsoft Comfort Desktop 5000 for Business,85.26,Ergonomic,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Gigabyte GK-OSMIUM,108.52,Gaming,Cherry MX Red,Blue,False,Wired,Black,Mid-Range Gaming,79.0
I/O Magic I012K03BMB,134.75,Ergonomic,None,None,False,Bluetooth Wireless,Black,Mid-Range Gaming,50.0
Belkin Keyboard,78.44,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
Motorola Wireless Keyboard With Trackpad,95.16,Mini,None,None,True,Bluetooth Wireless,Black,Compact,50.0
Genius LuxeMate i200,46.25,Mini,None,None,True,Wired,Black,Compact,38.0
Genius 31300710100,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
